Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
7 5 -7.5864825 0.0 -41.8252 9.07386 -14.6757 518.935 -3087.21 518.421 -3081.18 0.0 518.421 -3081.18 39.3967 -41.8252 -2565.1875 42.6575 42.6575
7 6 -7.5864825 0.0 -41.8252 9.07386 -14.6757 518.935 -3087.21 518.421 -3081.18 0.0 518.421 -3081.18 39.3967 -41.8252 -2565.1875 42.6575 42.6575
7 7 -7.5911775 0.0 -41.8847 9.07707 -14.6712 518.935 -3087.21 518.437 -3081.18 0.0 518.437 -3081.18 39.5039 -41.8847 -2565.1238 42.6598 42.6598
8 0 -7.3675237 0.0 -34.038 8.75804 -15.0532 518.935 -3087.21 517.745 -3089.46 0.0 517.745 -3089.46 25.791 -34.038 -2579.962 35.665 35.665
8 1 -7.3636994 0.0 -33.9909 8.75752 -15.0467 518.935 -3087.21 517.742 -3089.46 0.0 517.742 -3089.46 25.7481 -33.9909 -2579.9607 35.6531 35.6531
8 2 -7.364559 0.0 -34.0034 8.7583 -15.0494 518.935 -3087.21 517.738 -3089.45 0.0 517.738 -3089.45 25.7701 -34.0034 -2579.9453 35.6558 35.6558
8 3 -7.4173265 0.0 -34.074 8.76293 -15.1978 518.935 -3087.21 517.457 -3089.91 0.0 517.457 -3089.91 28.5181 -34.074 -2578.0088 37.0294 37.0294
8 4 -7.408527 0.0 -33.9663 8.76134 -15.1841 518.935 -3087.21 517.469 -3089.94 0.0 517.469 -3089.94 28.4475 -33.9663 -2577.9897 37.0335 37.0335
8 5 -7.047608 0.0 -29.9994 8.65376 -14.7956 518.935 -3087.21 518.328 -3091.28 0.0 518.328 -3091.28 28.2503 -29.9994 -2574.7012 41.9642 41.9642
8 6 -7.0972714 0.0 -30.5563 8.6479 -14.8183 518.935 -3087.21 518.21 -3091.08 0.0 518.21 -3091.08 28.8511 -30.5563 -2574.5752 41.9235 41.9235
8 7 -7.2269654 0.0 -31.9632 8.6575 -14.7754 518.935 -3087.21 518.005 -3090.65 0.0 518.005 -3090.65 30.238 -31.9632 -2574.37 41.7722 41.7722
9 0 -7.885238 0.0 -46.9496 8.88175 -12.9108 518.935 -3087.21 516.485 -3073.68 0.0 516.485 -3073.68 24.8887 -46.9496 -2579.2559 25.096 25.096
9 1 -7.8833966 0.0 -46.8853 8.88868 -12.9206 518.935 -3087.21 516.499 -3073.77 0.0 516.499 -3073.77 24.9466 -46.8853 -2579.2097 25.0767 25.0767
9 2 -7.8736978 0.0 -46.7813 8.89497 -12.9034 518.935 -3087.21 516.502 -3073.75 0.0 516.502 -3073.75 24.8992 -46.7813 -2579.1301 25.1269 25.1269
9 3 -7.8736978 0.0 -46.7813 8.89497 -12.9034 518.935 -3087.21 516.502 -3073.75 0.0 516.502 -3073.75 24.8992 -46.7813 -2579.1301 25.1269 25.1269
9 4 -7.8717737 0.0 -46.7524 8.91152 -12.7932 518.935 -3087.21 516.523 -3073.66 0.0 516.523 -3073.66 24.7714 -46.7524 -2579.118 25.3351 25.3351
9 5 -7.82286 0.0 -46.2904 8.92874 -12.7109 518.935 -3087.21 516.571 -3073.54 0.0 516.571 -3073.54 24.6133 -46.2904 -2578.646 25.7258 25.7258
9 6 -7.154052 0.0 -38.1182 8.93386 -15.4087 518.935 -3087.21 516.452 -3077.75 0.0 516.452 -3077.75 28.9782 -38.1182 -2570.438 28.91 28.91
9 7 -7.0814137 0.0 -36.8786 8.93599 -15.4425 518.935 -3087.21 516.381 -3078.4 0.0 516.381 -3078.4 28.8989 -36.8786 -2569.9985 29.2375 29.2375
10 0 -7.7424703 0.0 -42.6808 8.53123 -15.6744 518.935 -3087.21 516.659 -3081.52 0.0 516.659 -3081.52 29.0173 -42.6808 -2578.5247 28.0471 28.0471
10 1 -7.7424703 0.0 -42.6808 8.53123 -15.6744 518.935 -3087.21 516.659 -3081.52 0.0 516.659 -3081.52 29.0173 -42.6808 -2578.5247 28.0471 28.0471
10 2 -7.7488346 0.0 -42.6449 8.54275 -15.6695 518.935 -3087.21 516.661 -3081.66 0.0 516.661 -3081.66 29.2243 -42.6449 -2578.4194 28.1445 28.1445
10 3 -7.7488346 0.0 -42.6449 8.54275 -15.6695 518.935 -3087.21 516.661 -3081.66 0.0 516.661 -3081.66 29.2243 -42.6449 -2578.4194 28.1445 28.1445
10 4 -7.7488346 0.0 -42.6449 8.54275 -15.6695 518.935 -3087.21 516.661 -3081.66 0.0 516.661 -3081.66 29.2243 -42.6449 -2578.4194 28.1445 28.1445
10 5 -7.615944 0.0 -40.9781 8.52117 -15.3651 518.935 -3087.21 516.665 -3081.8 0.0 516.665 -3081.8 28.0912 -40.9781 -2578.022 28.4553 28.4553
10 6 -7.615944 0.0 -40.9781 8.52117 -15.3651 518.935 -3087.21 516.665 -3081.8 0.0 516.665 -3081.8 28.0912 -40.9781 -2578.022 28.4553 28.4553
10 7 -7.615944 0.0 -40.9781 8.52117 -15.3651 518.935 -3087.21 516.665 -3081.8 0.0 516.665 -3081.8 28.0912 -40.9781 -2578.022 28.4553 28.4553
11 0 -7.1442056 0.0 -31.1991 8.82025 -15.3244 518.935 -3087.21 518.868 -3092.11 0.0 518.868 -3092.11 26.1326 -31.1991 -2578.3086 37.6113 37.6113
11 1 -7.114387 0.0 -30.9158 8.80327 -15.3424 518.935 -3087.21 518.813 -3092.02 0.0 518.813 -3092.02 26.1514 -30.9158 -2577.9714 37.8519 37.8519
11 2 -7.102267 0.0 -30.8418 8.79881 -15.403 518.935 -3087.21 518.804 -3091.99 0.0 518.804 -3091.99 26.2744 -30.8418 -2577.7534 37.9738 37.9738
12 0 -7.923051 0.0 -40.878 9.20791 -13.2414 518.935 -3087.21 517.087 -3084.44 0.0 517.087 -3084.44 30.1161 -40.878 -2578.115 29.6722 29.6722
12 1 -7.9201527 0.0 -40.8445 9.20538 -13.2477 518.935 -3087.21 517.084 -3084.45 0.0 517.084 -3084.45 30.1001 -40.8445 -2578.1104 29.6757 29.6757
12 2 -8.226408 0.0 -46.6438 9.00316 -13.3627 518.935 -3087.21 516.788 -3080.46 0.0 516.788 -3080.46 35.0838 -46.6438 -2575.232 32.2154 32.2154
12 3 -8.232433 0.0 -46.6864 9.00792 -13.4014 518.935 -3087.21 516.792 -3080.53 0.0 516.792 -3080.53 35.2005 -46.6864 -2575.2239 32.2089 32.2089
12 4 -7.5839496 0.0 -40.0008 9.30385 -15.5215 518.935 -3087.21 516.895 -3082.09 0.0 516.895 -3082.09 37.9256 -40.0008 -2567.2703 38.6437 38.6437
12 5 -7.742836 0.0 -40.5985 9.39022 -13.6061 518.935 -3087.21 516.731 -3081.46 0.0 516.731 -3081.46 48.3286 -40.5985 -2556.999 51.5979 51.5979
12 6 -7.7343955 0.0 -40.4829 9.38997 -13.6096 518.935 -3087.21 516.728 -3081.5 0.0 516.728 -3081.5 48.2933 -40.4829 -2556.9617 51.5975 51.5975
