Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
9 2 -7.8369527 0.0 -38.0881 15.5824 -91.3502 489.093 -2994.99 490.99 -3069.17 0.0 490.99 -3069.17 -42.8312 -38.0881 -2659.099 9.74658 9.74658
9 3 -7.8369527 0.0 -38.0881 15.5824 -91.3502 489.093 -2994.99 490.99 -3069.17 0.0 490.99 -3069.17 -42.8312 -38.0881 -2659.099 9.74658 9.74658
9 4 -7.8369527 0.0 -38.0881 15.5824 -91.3502 489.093 -2994.99 490.99 -3069.17 0.0 490.99 -3069.17 -42.8312 -38.0881 -2659.099 9.74658 9.74658
9 5 -7.8369527 0.0 -38.0881 15.5824 -91.3502 489.093 -2994.99 490.99 -3069.17 0.0 490.99 -3069.17 -42.8312 -38.0881 -2659.099 9.74658 9.74658
9 6 -7.52992 0.0 -30.651 15.5363 -92.6876 489.093 -2994.99 490.875 -3076.88 0.0 490.875 -3076.88 -42.3976 -30.651 -2659.0535 11.4266 11.4266
9 7 -7.52992 0.0 -30.651 15.5363 -92.6876 489.093 -2994.99 490.875 -3076.88 0.0 490.875 -3076.88 -42.3976 -30.651 -2659.0535 11.4266 11.4266
10 0 -8.765454 0.0 -51.8927 15.4782 -92.2113 489.093 -2994.99 490.262 -3062.9 0.0 490.262 -3062.9 -35.7099 -51.8927 -2660.2405 9.87615 9.87615
10 1 -8.765454 0.0 -51.8927 15.4782 -92.2113 489.093 -2994.99 490.262 -3062.9 0.0 490.262 -3062.9 -35.7099 -51.8927 -2660.2405 9.87615 9.87615
10 2 -7.7350583 0.0 -28.4875 15.584 -91.5728 489.093 -2994.99 490.165 -3081.29 0.0 490.165 -3081.29 -40.3901 -28.4875 -2660.0027 12.035 12.035
10 3 -7.7350583 0.0 -28.4875 15.584 -91.5728 489.093 -2994.99 490.165 -3081.29 0.0 490.165 -3081.29 -40.3901 -28.4875 -2660.0027 12.035 12.035
